country,ID,TotalCases,TotalDeaths,TotalCases1M,TotalDeaths1M,TotalTests,TotalTests1M,Population,Continent,1CaseEvery,1DeathEvery,1TestEvery,AccessElectricity,GDP,GDPperCap,LifeExpect,DrsPer1k,NewInfecHIV,FertilityRate,UrbanPopulation,UrbanPopulationPerc,Latitude,Longitude
Bahrain,56,80255.0,312.0,46669.0,181.0,1688454.0,981847.0,1719671.0,Asia,21.0,5512.0,1.0,100.0,37652500000.0,23991.05667694,77.163,0.9186,1050.0,1.987,1401305.0,81.48680765099836,26.1551249,50.5344606
Armenia,57,77837.0,1180.0,26252.0,398.0,377340.0,127264.0,2965018.0,Asia,38.0,2513.0,8.0,100.0,12457941907.0333,4220.49027671249,74.945,0.9186,200.0,1.755,1864017.0,62.866970790733816,40.7696272,44.6736646
Moldova,58,71503.0,1685.0,17739.0,418.0,343554.0,85229.0,4030942.0,Europe,56.0,2392.0,12.0,100.0,11457410264.1932,4233.99955588135,71.808,3.4075,1000.0,1.262,1153562.0,28.61767795220075,47.2879608,28.5670941
Lebanon,59,71390.0,565.0,10475.0,83.0,1152198.0,169054.0,6815571.0,Asia,95.0,12063.0,6.0,100.0,54961275741.5589,8024.80327081387,78.875,2.1038,200.0,2.087,6067668.0,89.0265540480761,33.8750629,35.843409
Uzbekistan,60,65307.0,549.0,1942.0,16.0,1377915.0,40982.0,33622094.0,Asia,515.0,61242.0,24.0,100.0,50392607758.2324,1529.08286351335,71.573,0.9186,3400.0,2.419,16635580.0,49.47811995290954,41.32373,63.9528098
Nigeria,61,61992.0,1130.0,298.0,5.0,607435.0,2924.0,207726439.0,Africa,3351.0,183829.0,342.0,56.5,398160403206.519,2032.72970882575,54.332,0.3806,75000.0,5.387,98611179.0,47.47165525713364,9.6000359,7.9999721
Paraguay,62,59594.0,1309.0,8323.0,183.0,347863.0,48583.0,7160238.0,South America,120.0,5470.0,21.0,100.0,40384691790.5685,5805.67561638869,74.131,1.3544,1000.0,2.429,4283896.0,59.8289609926374,-23.3165935,-58.1693445
Hungary,63,59247.0,1425.0,6138.0,148.0,980373.0,101567.0,9652446.0,Europe,163.0,6774.0,10.0,100.0,157882912778.254,16150.7727613725,76.0658536585366,3.4075,500.0,1.55,6974963.0,72.26109319855298,47.1817585,19.5060937
Singapore,64,57970.0,28.0,9884.0,5.0,3486260.0,594420.0,5864976.0,Asia,101.0,209463.0,2.0,100.0,373217081850.534,66188.7793961798,83.1463414634146,0.9186,100.0,1.14,5638676.0,96.14150168730443,1.3408630000000001,103.83039182212079
Ireland,65,57128.0,1882.0,11529.0,380.0,1538215.0,310421.0,4955251.0,Europe,87.0,2633.0,3.0,100.0,382674360766.341,78621.2279552716,82.2560975609756,3.3125,500.0,1.75,3074684.0,62.049006195649824,52.865196,-7.9794599
